call_id,caller_phone_id,duration_sec,receiver_phone_id,timestamp
C001,PH01,301,PH02,2026-02-11T06:47:00
C002,PH01,124,PH02,2026-02-11T13:08:00
C003,PH01,50,PH02,2026-02-11T19:02:00
C004,PH01,537,PH02,2026-02-11T12:14:00
C005,PH01,578,PH02,2026-02-11T23:12:00
C006,PH01,304,PH02,2026-02-12T13:28:00
C007,PH01,452,PH02,2026-02-11T11:44:00
C008,PH01,240,PH02,2026-02-12T14:09:00
C009,PH01,409,PH02,2026-02-12T09:05:00
C010,PH01,372,PH02,2026-02-11T17:54:00
C011,PH01,490,PH02,2026-02-12T07:46:00
C012,PH01,585,PH02,2026-02-11T18:05:00
C013,PH01,216,PH02,2026-02-12T17:36:00
C014,PH01,253,PH02,2026-02-11T07:42:00
C015,PH01,258,PH02,2026-02-12T08:54:00
C016,PH01,484,PH02,2026-02-11T18:17:00
C017,PH01,383,PH02,2026-02-12T11:23:00
C018,PH01,93,PH02,2026-02-11T14:44:00
C019,PH01,270,PH02,2026-02-11T23:46:00
C020,PH01,296,PH02,2026-02-11T20:24:00
C021,PH01,77,PH02,2026-02-11T16:53:00
C022,PH01,343,PH02,2026-02-11T07:51:00
C023,PH01,236,PH02,2026-02-12T14:04:00
C024,PH01,531,PH02,2026-02-12T12:41:00
C025,PH01,291,PH02,2026-02-12T20:09:00
C026,PH01,594,PH02,2026-02-11T13:47:00
C027,PH01,428,PH02,2026-02-12T19:57:00
C028,PH01,541,PH03,2026-01-21T13:08:00
C029,PH01,68,PH03,2026-01-25T08:48:00
C030,PH01,183,PH03,2026-02-06T09:09:00
C031,PH01,85,PH03,2026-02-04T19:38:00
C032,PH01,499,PH03,2026-01-22T18:38:00
C033,PH01,31,PH03,2026-01-26T14:35:00
C034,PH01,569,PH03,2026-01-31T09:43:00
C035,PH01,368,PH03,2026-02-03T14:49:00
C036,PH01,181,PH03,2026-01-13T15:27:00
C037,PH01,289,PH04,2026-01-24T06:46:00
C038,PH01,128,PH04,2026-01-26T11:32:00
C039,PH01,539,PH04,2026-02-06T15:53:00
C040,PH01,402,PH04,2026-01-29T12:09:00
C041,PH01,563,PH04,2026-02-03T11:34:00
C042,PH01,351,PH04,2026-02-08T06:38:00
C043,PH01,391,PH04,2026-01-25T06:07:00
C044,PH01,79,PH04,2026-02-07T15:15:00
C045,PH01,517,PH04,2026-01-17T08:05:00
C046,PH01,565,PH04,2026-02-05T08:48:00
C047,PH01,506,PH04,2026-02-03T10:08:00
C048,PH01,291,PH04,2026-02-09T23:10:00
C049,PH01,572,PH04,2026-01-26T19:13:00
C050,PH01,339,PH04,2026-02-03T12:45:00
C051,PH03,549,PH04,2026-01-22T17:28:00
C052,PH03,250,PH04,2026-01-24T09:15:00
C053,PH03,587,PH04,2026-01-12T16:01:00
C054,PH03,92,PH04,2026-01-17T13:00:00
C055,PH03,89,PH04,2026-02-01T07:14:00
C056,PH03,358,PH04,2026-02-07T07:55:00
C057,PH04,305,PH05,2026-01-12T22:15:00
C058,PH04,572,PH05,2026-01-31T21:13:00
C059,PH04,504,PH05,2026-01-14T21:15:00
C060,PH04,116,PH05,2026-02-04T19:12:00
C061,PH04,453,PH05,2026-01-13T19:22:00
C062,PH04,75,PH05,2026-01-23T20:55:00
C063,PH04,432,PH05,2026-01-31T09:03:00
C064,PH04,131,PH05,2026-02-02T16:51:00
C065,PH04,569,PH05,2026-01-17T12:12:00
C066,PH04,207,PH05,2026-01-24T10:27:00
C067,PH04,97,PH05,2026-01-18T20:15:00
C068,PH04,71,PH05,2026-01-24T23:06:00
C069,PH04,35,PH05,2026-01-30T23:53:00
C070,PH04,436,PH05,2026-01-12T13:10:00
C071,PH04,430,PH05,2026-01-25T21:13:00
C072,PH04,408,PH05,2026-02-07T07:10:00
C073,PH04,485,PH05,2026-01-10T18:16:00
C074,PH04,589,PH05,2026-01-19T19:44:00
C075,PH04,214,PH05,2026-01-31T21:09:00
C076,PH04,575,PH05,2026-01-19T12:03:00
C077,PH04,71,PH05,2026-01-11T16:03:00
C078,PH04,563,PH05,2026-01-28T21:32:00
C079,PH04,102,PH05,2026-01-15T07:32:00
C080,PH04,89,PH05,2026-02-06T11:04:00
C081,PH04,142,PH05,2026-01-31T13:25:00
C082,PH04,60,PH05,2026-02-09T13:37:00
C083,PH04,598,PH05,2026-01-29T08:26:00
C084,PH04,287,PH05,2026-01-26T16:59:00
C085,PH04,291,PH05,2026-01-16T16:15:00
C086,PH04,327,PH05,2026-01-22T10:42:00
C087,PH04,94,PH05,2026-01-24T16:59:00
C088,PH02,596,PH06,2026-01-10T20:39:00
C089,PH02,238,PH06,2026-01-13T08:34:00
C090,PH02,377,PH06,2026-01-26T14:08:00
C091,PH02,270,PH06,2026-02-07T08:56:00
C092,PH05,468,PH06,2026-01-21T15:10:00
C093,PH05,329,PH06,2026-02-05T23:45:00
C094,PH05,587,PH06,2026-01-29T22:00:00
